               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035417,            0.018197,            0.011348,             0.97777,            0.057639,            0.083113,            0.038383,            0.023999,            0.012004,           0.0074216,             0.13245,          0.00098646,          0.00098646
                   1,            0.025111,            0.014957,           0.0063651,             0.49486,             0.19795,             0.17191,            0.077574,            0.020585,            0.010976,           0.0055044,            0.078184,            0.001862,            0.001862
                   2,               0.024,            0.014519,           0.0050899,             0.66591,             0.25717,             0.23193,             0.10905,            0.019715,            0.010619,           0.0045495,            0.023803,           0.0026258,           0.0026258
                   3,             0.02304,            0.014193,           0.0045161,             0.66406,             0.30234,             0.25672,             0.12359,            0.018861,            0.010326,           0.0041082,           0.0027731,           0.0027731,           0.0027731
                   4,            0.021841,            0.013758,           0.0041317,             0.57165,             0.32343,              0.2742,             0.13615,            0.018426,            0.010153,           0.0037883,           0.0027731,           0.0027731,           0.0027731
                   5,            0.020896,            0.013806,           0.0038015,             0.48469,             0.33069,             0.28414,             0.14433,             0.01816,            0.010022,           0.0035674,           0.0025841,           0.0025841,           0.0025841
                   6,            0.020351,            0.013611,           0.0036094,             0.48734,             0.32675,             0.29235,             0.15095,            0.017931,           0.0099317,           0.0034181,           0.0023952,           0.0023952,           0.0023952
                   7,            0.019919,            0.013405,           0.0034987,             0.53239,             0.32787,             0.30956,             0.15847,            0.017799,           0.0098887,           0.0032834,           0.0022062,           0.0022062,           0.0022062
                   8,            0.019665,            0.013314,           0.0033647,             0.56654,             0.34087,             0.32885,             0.16789,            0.017727,           0.0098269,           0.0031993,           0.0020172,           0.0020172,           0.0020172
                   9,            0.019394,            0.013285,           0.0032824,             0.72527,             0.32603,             0.33895,             0.17294,            0.017642,           0.0097888,           0.0030891,           0.0018283,           0.0018283,           0.0018283
                  10,            0.019251,            0.013239,           0.0031868,             0.78773,             0.31382,              0.3473,             0.17629,            0.017572,           0.0097604,           0.0030016,           0.0016393,           0.0016393,           0.0016393
                  11,            0.019068,            0.013089,           0.0031104,             0.80064,             0.31674,             0.35097,             0.17869,            0.017541,           0.0097396,           0.0028992,           0.0014503,           0.0014503,           0.0014503
                  12,            0.018922,            0.013111,           0.0030527,             0.80626,             0.32033,             0.35758,             0.18272,            0.017442,           0.0097112,           0.0028263,           0.0012614,           0.0012614,           0.0012614
                  13,            0.018873,            0.013087,           0.0029625,             0.80687,             0.32323,             0.36236,             0.18458,            0.017462,           0.0097256,           0.0027475,           0.0010724,           0.0010724,           0.0010724
                  14,            0.018831,              0.0132,           0.0029115,             0.79921,              0.3268,             0.36612,             0.18626,            0.017414,           0.0096897,           0.0026981,          0.00088344,          0.00088344,          0.00088344
